StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consentY/N,attnCheckYoshi,attnCheckJamal,realisticThreatQ,filler1,filler2,filler3,filler4,filler5,filler6,filler7,filler8,filler9,filler10,attitude,emotion,STUDY_ID,SESSION_ID,Condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,"By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. To continue to the rest of the experiment, provide your consent below.",What was the name of the partner you were assigned?,What was the name of the partner you were assigned?,Indicate the extent to which you think your partner will either help or hurt your performance using a scale ranging from 1 (hurt performance a lot) to 7 (help performance a lot).,work to walked Mark,baked cake Sally a,a saw dog Johnny,bike her Emma rode,Will notes taking started,her Mary cat fed,listened Tyler music to,picture a Josh drew,homework did Lauren math,Rachel sleep to went,"Indicate how much, in general, you like or dislike Asian Americans, using a scale ranging from 1 (dislike very much) to 7 (like very much).","Indicate how warmly or coldly
you feel toward Asian Americans on a scale from 0° (very cold) to 100° (very warm).",STUDY_ID,SESSION_ID,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID38""}","{""ImportId"":""QID37""}","{""ImportId"":""QID41""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID21""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""Condition""}"
12/5/22 14:00,12/5/22 14:02,0,100,131,1,12/5/22 14:02,R_3sn7C77Uhh6kZis,,,,,anonymous,EN,1,,3,4,,,,,,,,,,,4,50,638e4b9126ef6a7b1b245296,638e5bc4cfb008f51d1e73f5,2
12/5/22 14:44,12/5/22 14:45,0,100,104,1,12/5/22 14:45,R_2WZMHNNVbIxta6H,,,,,anonymous,EN,1,,2,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e66293f7ac90def37748f,2
12/5/22 14:52,12/5/22 14:54,0,100,115,1,12/5/22 14:54,R_1N8IT57xbKoj8Rn,,,,,anonymous,EN,1,3,,5,Mark walked to work,Sally backed a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e681d191662c74a0f3647,1
12/5/22 14:56,12/5/22 15:00,0,100,228,1,12/5/22 15:00,R_ea0vUKOXJ9Iubkd,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,70,638e4b9126ef6a7b1b245296,638e6922e7bba6e0d675e403,2
12/5/22 15:03,12/5/22 15:05,0,100,133,1,12/5/22 15:05,R_2teO3oLpqgBxpwq,,,,,anonymous,EN,1,2,,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes ,Mary fed her cat,Tyler listened to music,Josh drew a picture ,Lauren did math,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e6a8c98a0f366d279c792,1
12/5/22 15:05,12/5/22 15:07,0,100,118,1,12/5/22 15:07,R_1CfJLYU9HcFRlOY,,,,,anonymous,EN,1,,2,5,Mark walked to work ,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture ,Lauren did math homework ,Rachel went to sleep ,7,100,638e4b9126ef6a7b1b245296,638e6a8c98a0f366d279c792,2
12/5/22 15:05,12/5/22 15:07,0,100,123,1,12/5/22 15:07,R_1hMwnSeCvpmSz5x,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e6b2f2933c816d82452ca,1
12/5/22 15:09,12/5/22 15:10,0,100,89,1,12/5/22 15:10,R_1jcUPRnKldBc3Y7,,,,,anonymous,EN,1,,2,5,mark walked to work,sally baked a cake,Johnny saw a dog,Emma rode her bikr,will started taking notes,Mary fed her cat,tylerlistend toimusic ,josh drew a picture,Lauren didmmath homework ,Rachel went to sleep,7,70,638e4b9126ef6a7b1b245296,638e6be6436d2e15ab0f3682,2
12/5/22 15:08,12/5/22 15:10,0,100,131,1,12/5/22 15:10,R_3EzZ56dDDu0wivH,,,,,anonymous,EN,1,2,,6,mark walked to work,sally baked a cake,johnny saw a dog,emma rode her bike ,will started taking notes ,mary fed her cat,tyler listened to music,josh drew a picture,lauren did math homework,rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e6bd3b96e382ade2d4dcd,1
12/5/22 15:09,12/5/22 15:12,0,100,169,1,12/5/22 15:12,R_BtA5BObeCDpRO93,,,,,anonymous,EN,1,,2,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,85,638e4b9126ef6a7b1b245296,638e6c09603a461fe1b3896c,2
12/5/22 15:24,12/5/22 15:26,0,100,159,1,12/5/22 15:26,R_1qh4VTgawJ6rR6b,,,,,anonymous,EN,1,2,,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,100,638e4b9126ef6a7b1b245296,638e6f6b98c6d26513f462ab,1
12/5/22 15:26,12/5/22 15:28,0,100,122,1,12/5/22 15:28,R_1QF6dNyaxr2jFh9,,,,,anonymous,EN,1,2,,3,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,60,638e4b9126ef6a7b1b245296,638e70105817e84470811a86,1
12/5/22 15:16,12/5/22 15:29,0,100,730,1,12/5/22 15:29,R_3iIH8eUyLeBxshb,,,,,anonymous,EN,1,,2,4,MArk walked to work,Sally baked a cake,Jimmy ssaw a dog,Emma rode her bike,Will started taking notes,MAry fed her cat,Tyler listened to music,Josh drew a picture,LAuren did math homework,Rachel went to sleep,6,50,638e4b9126ef6a7b1b245296,638e6dce981f03b03f94d754,2
12/5/22 15:26,12/5/22 15:30,0,100,211,1,12/5/22 15:30,R_3lEW2NKsW2xSnAA,,,,,anonymous,EN,1,2,,6,Mark walked to wor,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mark fed her cat,Tyler listened to music ,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e700e360d5b2a3135a7b3,1
12/5/22 15:31,12/5/22 15:33,0,100,139,1,12/5/22 15:33,R_1FL1skUBt9vqFAM,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e71255a89a41a3c262af3,1
12/5/22 15:27,12/5/22 15:33,0,100,355,1,12/5/22 15:33,R_1Gj2NLUWISF9knn,,,,,anonymous,EN,1,,2,6,Mark walked to work,Sally baked a cake ,Johnny saw a dog,Emma rode her bike,Will started taking notes ,Mary fed her cat,Tyler listened to music ,Josh drew a picture,Lauren did math homework ,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e705bc992895aabaa3750,2
12/5/22 15:31,12/5/22 15:36,0,100,306,1,12/5/22 15:36,R_3IZmkCMasXLsT85,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mart fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,60,638e4b9126ef6a7b1b245296,638e714662ae3244b34cc8a8,2
12/5/22 15:37,12/5/22 15:39,0,100,163,1,12/5/22 15:39,R_211HPxtn1IyBIdS,,,,,anonymous,EN,1,2,,7,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e7290d112ed6800344dc3,1
12/5/22 15:39,12/5/22 15:41,0,100,141,1,12/5/22 15:41,R_3EAnX5CTnhibEx0,,,,,anonymous,EN,1,,2,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,60,638e4b9126ef6a7b1b245296,638e730f1d7f06fe6671cba4,2
